Application Number,,Type of tax credit funding,Project Name,Project Address,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type,Housing Type,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award,Total State Award,,,,,,
CA-2013-025,,9%,Cypress Senior Living,"311 E. Cypress Street, Glendale, CA 91205",Glendale,91205,8182432030,Los Angeles,43,25,28,3025.06,5676-029-035,Placed In Service,05/08/14,05/08/14,Acquisition/Rehabilitation,Seniors,18,17,14,4,0,0,0,0,0,,2,2,2,0,6,0,5,,,"Cypress Senior Living Investors, LP",Darren Berberian,"3416 Via Oporto, Suite 301",Newport Beach,CA,92663,9492350704,9494190952,Community Development Partners,"Affordable Housing Alliance II, Inc., dba Integrit",,,,Buckingham Property Management,Rosemary Lynch,2170 N. Cherry Ave.,Fresno,CA,93703,5594528250,5594528249,Community Development Partners,"$300,783",,,,,,,
CA-2013-063,,9%,Veteran Village of Glendale,"327 W. Salem Street, Glendale, CA 91203",Glendale,91203,,Los Angeles,43,25,28,3018.02,"5637-007-034, 035, 900",Preliminary Reservation,,,New Construction,Large Family,44,43,0,13,17,14,0,0,0,,5,0,16,0,11,0,11,,,"Veteran Village of Glendale, LP",Andrew Gross,"11812 San Vicente Boulevard, Suite 600",Los Angeles,CA,90049,3108204888,3102076986,"Thomas Safran & Associates Development, Inc. (Sole Member of General Partner LLC)",,,,,"Thomas Safran & Associates, Inc.",Jordan Pynes,"11812 San Vicente Blvd., #500",Los Angeles,CA,90049,3108204888,3102076986,"Thomas Safran & Associates Development, Inc","$1,248,348",,,,,,,
CA-2014-060,,9%,Glendale Arts Colony,"121 N. Kenwood Street, Glendale, CA, 91206",Glendale,91206,,Los Angeles,43,25,28,3020.02,5642-006-056,Preliminary Reservation,,,New Construction,Large Family,70,69,0,14,34,22,0,0,0,,7,7,7,7,7,0,34,,,"Glendale Arts Colony, LP",Chris Maffris,"1640 S Sepulveda Boulevard, Suite 425",Los Angeles,CA,90025,3105753543,3105753563,"Glendale Arts Colony, LLC","WCH Affordable IX, LLC",,,,"Solari Enterprises, Inc.",Gianna Solari,1572 N Main Street,Orange,CA,92867,7142822520,7142822517,Meta Housing Corporation,"$2,041,469",$0,,,,,,
CA-2016-870,,4%,Maple Park Apartments,"711 E. Maple Avenue, Glendale, CA 91205",Glendale,91205,,Los Angeles,43,25,28,3022.02,5675-007-029,Preliminary Reservation,,,Acquisition/Rehabilitation,Special Needs,25,24,0,24,0,0,0,0,0,,0,0,0,0,10,0,14,,,"Maple Park Apartments Preservation, L.P.",Alejandro Lara,711 E. Maple Avenue,Glendale,CA,91205,3103096731,,Figueroa Economical Housing Development Corporation,,,,,"Monfric, Inc.",John Grady,1915 Morena Blvd,San Diego,CA,92110,6192766271,,"BlueGreen Preservation and Development, LLC","$234,149",,,,,,,
CA-2016-935,,4%,Park Paseo,"123 S. Isabel Street, Glendale, CA 91205",Glendale,91205,,Los Angeles,43,25,28,3022.01,5642-007-051; 5642-007-902,Preliminary Reservation,,,Acquisition/Rehabilitation,Seniors,97,96,23,73,0,0,0,0,0,,0,0,0,0,29,0,67,,,Park Paseo L.P. by Southern Califoria Presbyterian,Orest Dolyniuk,516 Burchett Street,Glendale,CA,91203,8182470420,8182650058,"Park Paseo, LLC by Southern California Presbyterian Homes dba be.group",,,,,SCPH dba be.group,Jacqueline Seegobin,516 Burchett Street,Glendale,CA,91203,8182470420,,SCPH dba be.group,"$935,751",,,,,,,
CA-2017-110,,9%,5th & Sonora Apartments,"1412 5th Street, Glendale, CA 91201",Glendale,91201,,Los Angeles,43,25,28,3015.02,"562-3005-901, -902, -903, -904, -905 & -907",Preliminary Reservation,,,New Construction,Seniors,66,65,0,60,6,0,0,0,0,,7,0,0,23,20,0,15,,,"LINC-CORE Housing Partners-Glendale, LP",Suny Lay Chang,"555 E Ocean Blvd, Suite 900",Long Beach,CA,90802,5626841108,,"RCD GP III, LLC",N/A,,,,National CORE,Michael Ruane,9421 Haven Avenue,Rancho Cucamonga,CA,91730,9094832444,,LINC Housing,"$1,347,840",,,,,,,
CA-2006-015,,9%,Elwood Family Apartments,"635 S. Elwood Ave., Glendora, CA 91740     ",Glendora,91740,626-852-7622,Los Angeles,48,25,27,4011.01,8644-017-046,Placed In Service,12/16/08,12/16/08,New Construction,Large Family,87,86,0,0,33,42,12,0,0,,,,,,,,,,,"Glendora Housing Investors, L.P., a CA LP",Darren Berberian,"2010 Main Street, Suite 1250",Irvine,CA,92614,949-235-0704,949-266-8821,"National Affordable Communities, Inc.",,,,,Interstate Realty Management,Aaron Richards,2020 W Kettleman Lane,Lodi,CA,98242,209 334-6565,209 370-1574,"TELACU Homes, Inc.","$1,847,670",$0,,,,,,
CA-1997-045,,9%,Hacienda Sr. Villas,"1901 South Azusa Avenue, Hacienda Heights, CA 91743     ",Hacienda Heights,91743,626-912-3040,Los Angeles,57,32,39,4086.28,1-18655-229,Placed In Service,08/17/99,08/17/99,New Construction,Senior,152,151,,121,31,,,,,,,,,,,,,,,"Hacienda Sr. Villas, LP",Darrin Willard,"384 Forest Ave., Ste. 14",Laguna Beach,Ca,92651,949-443-9101,949-443-9133,"Foundation for Affordable Housing II, Inc.",,,,,JDC Management Company,Gary Lubin,121 South Beverly Drive,Beverly Hills,CA,90212,310-432-0800,310-432-0888,,"$1,133,405",$0,,,,,,
CA-2004-849,,4%,Harmony Creek,"15554 Gale Avenue, Hacienda Heights, CA 91745-1513",Hacienda Heights,91745,626-369-2519,Los Angeles,57,32,39,4085.01,8218-016-009,Placed In Service,08/29/05,08/29/05,New Construction,Senior,75,74,0,74,1,0,0,0,0,,,,,,,,,,,"Hacienda Senior Partners, L.P., a CA L.P.",George Ho,"11400 W. Olympic Blvd, Suite 200",Los Angeles,CA,90064,310-445-8865,310-445-8867,Gateway Community Housing Corporation,Los Robles Development Corporation,Resideential Communities Incorporated,,,Levine Management Group,Jeff Levine,"822 South Robertson Blvd, Suite 200",Los Angeles,CA,90035,310-358-3489,310-358-3494,Los Robles Devel. & Residential Communities,"$415,540",$0,,,,,,
CA-1996-145,,9%,Normont Terrace Phase I,"981 Harbor Village Drive, Harbor City, CA 90710     ",Harbor City,90710,3105308711,Los Angeles,66,35,33,2944.10,,EXTENDED,10/23/97,10/23/97,New Construction,Large Family,200,200,0,0,0,0,0,0,0,,,,,,,,,,,"Harbor Village Housing Partners, L.P.",Scott Stephens,"18201 Von Karman Avenue, Suite 900",Irvine,CA,92612,949660727283,9496607273,"Related/Harbor Village Development Co, LLC",,,,,Related Management Company,Kim Chase,"18201 Von Karman Avenue, Suite 900",Irvine,CA,92612,9496600390,9496600391,Related Companies of California,"$2,703,365",$0,,,,,,
CA-2013-843,,4%,Harbor Village Apartments,"981 Harbor Village Drive, Harbor City, CA 90710",Harbor City,90710,3105308711,Los Angeles,66,35,33,2944.10,Fee Simple: 7413-012-918; 7413-012-919; 7413-012-9,Placed In Service,11/20/13,09/05/14,Acquisition/Rehabilitation,Large Family,400,398,0,0,246,92,62,0,0,,0,0,0,0,198,0,200,,,"Harbor Village Housing Partners, L.P.",Frank Cardone,"18201 Von Karman Aveune, Suite 900",Irvine,CA,92612,9496607272,9496607273,"Related/Harbor Village Development Co., LLC","La Cienega, LOMOD, Inc.",,,,Related Management Company,Israel Mata,"18201 Von Karman Avenue, Suite 900",Irvine,CA,92612,9496600390,9496600391,Related Development Company of California,"$2,112,648",$0,,,,,,
CA-2004-852,,4%,Hawaiian Gardens Apartments,"11950 Centralia Road, Hawaiian Gardens, CA 907160000 ",Hawaiian Gardens,90716,562-860-6691,Los Angeles,63,32,38,5551.02,7065-033-036,Placed In Service,12/30/04,12/30/04,Acquisition/Rehab,Large Family,264,211,0,0,173,38,0,0,0,,,,,,,,,,,"Hawaiian Gardens Housing Partners, L.P., a CA LP",Rebecca Hyatt,"1927 Adams Avenue, Ste 200",San Diego,CA,92116,619-952-0110,619-923-3116,"Amerland/Hawaiian Gardens, LLC","Pacific Housing, Inc.",,,,"Logan Property Management, Inc.",Martha Enriquez,PO Box 880367,San Diego,CA,92168,619-260-5562 x16,619-330-4837,"Islas Development, LLC","$770,382",$0,,,,,,
CA-2019-518,,4%,Hawaiian Gardens Apartments,"11950 Centralia Road, Hawaiian Gardens, CA 90716",Hawaiian Gardens,90716,,Los Angeles,63,32,38,5551.02,7065-003-036,Preliminary Reservation,,,Acquisition & Rehabilitation,Non-Targeted,264,241,0,0,212,52,0,0,0,0,0,0,0,0,80,0,161,0,0,"Centralia Affordable Communities, L.P.",Peter Lopez-Hodoyan,"1927 Adams Ave, Suite 200",San Diego,CA,92116,4808993545,,"Centralia Communities, LLC","Pacific Housing, Inc.",,,,Logan Propety Management,Martha Enriquez,"1927 Adams Ave, Suite 200",San Diego,CA,92116,6192605562,,"Islas Development, LLC","$3,790,173",,,,,,,
CA-2014-907,,4%,Icon on Rosencrans,"14135 Cerise Avenue, Hawthorne, CA, 90250",Hawthorne,90250,,Los Angeles,62,35,43,6025.07,"4052-029-058, -059, -060, -081",Preliminary Reservation,,,New Construction,Large Family,127,126,0,0,48,67,12,0,0,,0,0,0,0,13,0,113,,,Hawthorne Pacific Associates,Caleb Roope,"430 E State Street, Suite 100",Eagle,ID,83616,2084610022,2084613267,"TPC Holdings V, LLC","TELACU Homes, Inc.",,,,"Barker Management, Incorporated",Peter Barker,PO Box 148,Anaheim,CA,92815,7145333450,7145338608,"Pacific West Communities, Inc.","$1,892,503",,,,,,,
CA-1994-148,,9%,Avenida Terrace Apartments,"245 South Avenue 54, Highland Park, CA 90042     ",Highland Park,90042,323-665-7870,Los Angeles,51,24,34,1838.20,,Extended,07/06/95,07/06/95,New Construction,Large Family,8,8,0,0,4,4,0,0,0,,,,,,,,,,,Avenida Terrace LP,Charles Kim,"800 South Figueroa, Suite 1270",Los Angeles,CA,90017,213-629-9172,213-629-9179,Los Angeles Housing Partnership,,,,,The John Stewart Company and Los Angeles Housing P,Lori Horn,"888 S.Figueroa Street, Suite 700",Los Angeles,CA,90017,213-787-2710,213-833-1866,Community Development Advocates,"$135,753",$0,,,,,,
CA-1993-048,,9%,Werner Illing House Argle Arms,"1924 N. Argyle Ave, Hollywood, CA 90068     ",Hollywood,90068,(323) 466-0290,Los Angeles,43,26,28,1895,,Extended,05/16/95,05/16/95,,Senior,21,20,19,2,0,0,0,0,0,,,,,,,,,,,Argyle Community Limited Partnership,Malen Rodriguez,5020 Santa Monica Blvd.,Los Angeles,CA,90029,(323) 454-6212,(323) 454-4681,Hollywood Community Housing Corporation,,,,,Barker Management Incorporated,Carmen Hernandez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92815,(714) 533-3450,(714) 533-8608,Hollywood Community Housing Corp.,"$149,361",$0,,,,,,
CA-1998-085,,9%,Mirada Terrace Apartments,"5657 La Mirada Avenue, Hollywood, CA 900380000 ",Hollywood,90038,(323) 467-3594,Los Angeles,50,26,28,1902.02,,Placed In Service,12/01/00,12/01/00,New Construction,Large Family,30,29,0,4,10,13,3,,,,,,,,,,,,,"Mirada Terrace Apartments, L.P., a CA L.P.",Malen Rodriguez,5020 Santa Monica Blvd.,Los Angeles,CA,90029,(323) 454-6212,(323) 454-4681,Hollywood community Housing Corporation,,,,,Barker Management Incorporated,Carmen Hernandez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92815,(714) 533-3450,(714) 533-8608,Hollywood Community Housing Corporation,"$404,481",$0,,,,,,
CA-2001-065,,9%,Innes Heights Apartments,"1245 Innes Avenue, Hollywood, CA 90026     ",Hollywood,90026,(213) 250-0156,Los Angeles,51,24,34,1977,"5406-014-016, 018, 037",Placed In Service,04/27/03,04/27/03,New Construction,Special Needs,19,18,0,0,19,0,0,0,0,,,,,,,,,,,"Innes Heights Apartments, L.P.",Malen Rodriguez,5020 Santa Monica Blvd.,Los Angeles,CA,90029,(323) 454-6212,(323) 454-4681,Hollywood Community Housing Corporation,,,,,Barker Management Incorporated,Carmen Hernandez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92815,(714) 533-3450,(714) 533-8608,Hollywood Community Housing Corp.,"$270,163",$0,,,,,,
CA-2002-001,,9%,Hollywood Western Apartments Metro Hollywood,"1672 N. Western Avenue, Hollywood, CA 90027     ",Hollywood,90027,323-462-0973,Los Angeles,43,24,28,1905.10,5544-21-900-904,Placed In Service,12/05/03,12/05/03,New Construction,Large Family,60,59,0,21,15,21,3,0,0,,,,,,,,,,,"Western/Carlton II, L.P., a CA LP",Dan Falcon,"720 Olive Street, Suite# 2500",St. Louis,MO,63101,213-236-2660,213-236-0707,MBA Urban Development Co.,,,,,"McCormack Baron Ragan Management Services, Inc.",Michael Martinez,"720 Olive Street, Suite# 2500",St. Louis,MO,63101,314-421-1160,314-621-0627,"Western/Carlton II, L.P.","$911,341",$0,,,,,,
CA-2002-002,,9%,Harold Way Apartments,"5521 Harold Way, Hollywood, CA 90027     ",Hollywood,90027,(323) 465-0128,Los Angeles,43,24,28,1905.10,5544-024-001,Placed In Service,06/30/03,06/30/03,New Construction,Special Needs,51,50,0,17,19,15,0,0,0,,,,,,,,,,,"Harold Way Apartments, L.P.",Malen Rodriguez,5020 Santa Monica Blvd.,Los Angeles,CA,90029,(323) 454-6212,(323) 454-4681,Hollywood Community Housing Corporation,,,,,Barker Management Incorporated,Carmen Hernandez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92815,(714) 533-3450,(714) 533-8608,Hollywood Community Housing Corp.,"$742,884",$0,,,,,,
CA-2004-014,,9%,Palomar Apartments,"5473 Santa Monica Boulevard, Hollywood, CA 90029     ",Hollywood,90029,(323) 464-8880,Los Angeles,53,24,28,1916.10,5536-010-001,Placed In Service,11/18/05,11/18/05,Rehabilitation,Senior,27,26,27,0,0,0,0,0,0,,,,,,,,,,,"Palomar Apartments, L.P.",Malen Rodriguez,5020 Santa Monica Blvd.,Los Angeles,CA,90029,(323) 454-6212,(323) 454-4681,Hollywood Community Housing Corporation,,,,,Barker Management Incorporated,Carmen Hernandez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92815,(714) 533-3450,(714) 533-8608,Hollywood Community Housing Corporation,"$284,166",$0,,,,,,
CA-1993-100,,9%,Casa Rita,"6508 Rita Avenue, Huntington Park, CA 90255",Huntington Park,90255,323-589-7482,Los Angeles,46,30,34,5326.05,"6322-005-014, 6322-005-015, 6322-005-024",Extended,12/01/95,12/01/95,New Construction,Large Family,103,102,0,0,72,31,0,0,0,,,,,,,,,,,Rita Partners,Dan Hunter,35 Argonaut Suite B2,Aliso Viejo,CA,92656,9494572557,9494572558,,,,,,The John Stewart Company,Carlos Younger,888 S. Figueroa Street Suite #700,Los Angeles,CA,90017,2137872722,2138331866,"Rita Partners, LP","$474,947",$0,,,,,,
CA-1999-908,,4%,Concord-Huntington Park Apartments,"6900 Seville Avenue, Huntington Park, CA 90255     ",Huntington Park,90255,323-589-5956,Los Angeles,53,33,40,5331.04,6322-026-022,Placed In Service,12/31/99,12/31/99,Acquisition/Rehab,Non Targeted,162,160,110,51,1,0,0,0,0,,,,,,,,,,,"Huntington Concord Partners, L.P.",Thomas J Yocis,"c/o Yocis & Cox, 340 Golden Shore, Suite 230",Long Beach,CA,90802,562-437-9797,562-437-6868,Housing Opportunities Program for the Elderly,,,,,Living Opportunities Management Company (LOMCO),Dean Salazar,3787 Worsham Ave,Long Beach,CA,90808-1774,562-595-7567,492-492-6674,"Huntington Concord Partners, L.P.","$188,193",$0,,,,,,
CA-2001-846,,4%,Casa Bonita Senior Apartments,"6512 Rugby Avenue, Huntington Park, CA 902560000 ",Huntington Park,90256,323-581-1600,Los Angeles,53,33,40,5326.05,6322-003-901,Placed In Service,03/21/03,03/21/03,New Construction,Senior,80,79,0,64,16,0,0,0,0,,,,,,,,,,,"RASA, L.P., a CA LP",Leanne Truofreh,"151 Kalmus Drive, Suite J-5",Costa Mesa,CA,92626,714-549-4100,714-549-4600,Western Community Housing,,,,,Western Seniors Housing,Cruz Guardado,"18881 Von Karman Ave., Suite 720",Irvine,CA,92612,661-755-8802,714-450-8741,,"$367,208",$0,,,,,,
CA-2012-077,,9%,Mosaic Gardens at Huntington Park,"6337 Middleton Street, Huntington Park, CA 90255",Huntington Park,90255,,Los Angeles,53,33,40,5326.04,6321-013-026,Placed in Service,12/20/13,12/20/13,New Construction,Special Needs/Large Family,23,23,10,6,4,4,0,0,0,,15,0,0,0,8,0,0,,,"LINC-Huntington Park Apts Housing Investors, LP",Suny Lay Chang,"110 Pine Avenue, Suite 500",Long Beach,CA,90802,5626841108,5626841137,"LINC Housing-Huntington Park Apartments, LLC",LINC Community Development Corporation,,,,The John Stewart Company,Lori Horn,"888 S. Figueroa Street, Suite 700",Los Angeles,CA,90017,2138331860,2138331866,LINC Housing Corporation,"$496,226",,,,,,,
CA-2013-827,,4%,Huntington Plaza Apartments,"6330 Rugby Avenue, Huntington Park, CA 90255",Huntington Park,90255,3235820685,Los Angeles,53,33,40,5326.05,6320-031-026,Placed In Service,12/30/13,12/30/13,Acquisition/Rehabilitation,Seniors,184,182,0,147,37,0,0,0,0,,0,0,0,0,93,0,89,,,"Huntington Park 607, L.P.",Kenneth Robertson,3803 E. Casselle Avenue,Orange,CA,92869,7146281650,7146281657,Riverside Charitable Corportaion,Riverside Charitable Corporation,,,,"USA Multifamily Management, Inc.",Victoria Critchfield,"3200 Douglas Blvd., Suite 200",Roseville,CA,95661,9167243855,9167730529,"USA Multifamily Housing, Inc.","$606,652",,,,,,,
CA-2015-058,,9%,Tiki Apartments (Site A),"7306 Marbrisa Ave, Huntington Park, CA 90255",Huntington Park,90255,,Los Angeles,59,33,40,5349.00,"6025-029-033, 6025-029-035, 6025-029-012, 6025-029",Preliminary Reservation,,,Acquisition/Rehabilitation,Special Needs,36,35,11,21,1,3,0,0,0,,4,0,31,0,0,0,0,,,"7301 Santa Fe Avenue, LP",Aaron Mandel,"1640 S. Sepulveda Blvd, Suite 425",Los Angeles,CA,90025,3105753543,3105753563,"7301 Santa Fe Avenue, LLC","WCH Affordable XII, LLC",,,,John Stewart Company,Lori Horn,"888 S.Figueroa Street, Suite 700",Los Angeles,CA,90017,2137872700,2138331866,Meta Housing Corporation,"$694,628","$2,043,080",,,,,,
CA-2015-058,,,Tiki Apartments (Site B),"7301 Santa Fe Ave, Huntington Park, CA 90255",Huntington Park,90255,,Los Angeles,,,,,,,,,Acquisition/Rehabilitation,Special Needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-066,,9%,Middleton Place,"6614 Middleton Street, Huntington Park, CA 90255",Huntington Park,90255,,Los Angeles,40,59,33,5331.03,6322-020-003 & 6322-020-004,Preliminary Reservation,,,New Construction,Large Family,20,19,0,9,5,5,0,0,0,,2,0,0,5,8,0,4,,,"Huntington Park Pacific Associates, a California L",Alexis Gevorgian,"16633 Ventura Blvd., Suite 1014",Encino,CA,91436,8183802600,8183802603,"AMG & Associates, LLC",Oldtimers Development Corporation IV,RCC MGP LLC,,,"U.S. Residential Group, LLC",Ed Quigley,"15771 Rockfield Blvd., Suite 200",Irvine,CA,92618,9495979700,9495979800,"AMG & Associates, LLC","$528,823",,,,,,,
CA-2017-760,,4%,Casa Rita Apartments,"6509 Rita Avenue, Huntington Park, CA 90255",Huntington Park,90255,,Los Angeles,53,33,40,5326.05,6322-005-028,Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,103,102,0,0,72,30,0,0,0,,0,0,0,0,21,0,81,,,"Casa Rita, LP",Oscar Alvarado,1000 Corporate Pointe,Culver City,CA,90230,3106422079,3106422083,"CADI Eleven, LLC",,,,,John Stewart Companies,Lori Horn,"888 South Figueroa Street, Suite 700",Los Angeles,CA,90017,2138331860,2138331866,"Century Affordable Development, Inc.","$798,421",,,,,,,
CA-2000-148,,9%,Osage Senior Villas,"924 S. Osage Avenue, Inglewood, CA 90301     ",Inglewood,90301,  (310) 330-0020,Los Angeles,62,35,43,6011,4024-008-023 +,Placed In Service,12/30/02,12/30/02,New Construction,Senior,91,72,0,58,15,0,0,0,0,,,,,,,,,,,"Osage Senior Villas Limited Partnership, a CA LP", Danielle Bennett," 645 West 9th Street, Suite 215", Los Angeles,CA,90015, (213) 995-1770, (213) 995-1771,Alliance Property Group Inc.,,,,, The John Stewart Company,Rich Himmelberger," 888 South Figueroa Street, Suite 700", Los Angeles,CA,90017, (213) 787-2700, (213) 833-1864,,"$791,597",$0,,,,,,
CA-2008-870,,4%,Regent Plaza,"201 W Regent Street, Inglewood, CA 90301     ",Inglewood,90301,310-672-5198,Los Angeles,62,35,43,6012.11,4020-020-028; 4020-020-029; 4020-020-030,Placed In Service,07/01/08,07/01/08,Acquisition/Rehab,Senior,107,104,0,106,1,0,0,0,0,,,,,,,,,,,"Regent Plaza KBS, L.P., a CA LP",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,8018197989,8018197888,Housing Corporation of America,"KBS Housing, LLC",,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,3108204888,3102076986,Thomas Safran & Associates,"$489,296",$0,,,,,,
CA-2008-871,,4%,Inglewood Meadows,"1 South Locust Street, Inglewood, CA 90301     ",Inglewood,90301,310-672-3988,Los Angeles,62,35,43,6010.01,4021-006-029,Placed In Service,07/01/08,07/01/08,Acquisition/Rehab,Senior,199,198,0,198,1,0,0,0,0,,,,,,,,,,,"Inglewood Meadows KBS, L.P., a CA L.P.",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,KBS Housing LLC,"KBS Housing, LLC",,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6986,Thomas Safran & Associates,"$912,744",$0,,,,,,
CA-2009-183,,9%,PATH Villas Osage Apartments,"812 S. Osage Apartments, Inglewood, CA 90301     ",Inglewood,90301,310-671-0608,Los Angeles,62,35,43,6010.02,4024-0007-025,Placed in Service,05/26/11,05/26/11,New Construction,Large Family,20,19,0,8,6,6,0,0,0,,,,,,,,,,,"PATH Villas Osage Apartments, LP",Shola Giwa,340 N.Madison Ave.,Los Angeles,CA,90004,323.671.1300 X 302,,PATH Villas,Polis Properties,,,,The John Stewart Company,Henrietta Rice,888 S. Figueroa St. #700,Los Angeles,CA,90017,213-77-2700,213-833-1866,PATH Villas Osage Apts,"$591,291",$0,,,,,,
CA-2009-530,,9% ARRA,Westside II,"725 S. Hindry Avenue, Inglewood, CA 90301     ",Inglewood,90301,310-496-8132,Los Angeles,62,35,43,6014.01,4126-016-002,Placed in Service,11/23/11,11/23/11,New Construction,Special Needs,196,196,196,0,0,0,0,0,0,,,,,,,,,,,"Cloudbreak Inglewood, LLC",Randall Bishop,414 S. Marengo Ave,Pasadena,CA,91101,310-568-9100x3111,626-796-1808,Cloudbreak Inglewood LLC,,,,,"Cantwell-Anderson, Inc.",Peter Postlmayr,414 S. Marengo Ave,Pasadena,CA,91101,310-568-9100x3116,626-796-1808,Cloudbreak Inglewood LLC,$0,$0,,,,,,
CA-2009-871,,4%,Regency Towers,"151 North Locust Street, Inglewood, CA 90301     ",Inglewood,90301,310-677-5400,Los Angeles,62,35,43,6010.01,4021-007-025,Placed In Service,03/05/10,03/05/10,New Construction,Senior,104,103,0,104,0,0,0,0,0,,,,,,,,,,,"Regency Towers Senior Housing, L.P.",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Regency Towers Senior Housing LLC,Thomas Safran,,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6968,Thomas Safran & Associates,"$756,019",$0,,,,,,
CA-2011-823,,4%,Market Park Apartments,"601 North Market Street, Inglewood, CA 90302     ",Inglewood,90302,310-674-1804,Los Angeles,62,35,43,6009.02,,Placed in Service,10/19/12,10/19/12,Acquisition/Rehab,Non-Targeted,50,49,0,12,38,0,0,0,0,,0,0,0,0,15,0,34,,,"Market Park Partners, LP",David A Beacham,"1700 7th Ave, Ste 2000",Seattle,WA,98101,7605571480,7604525474,"Market Park Management, LLC","Pacific Housing, Inc",,,,Hyder & Company,Steve Margetic,"1649 Capalina Rd, Suite 500",San Marcos,CA,92069,7605919737,7605919784,"Vitus Development, LLC","$278,596",$0,,,,,,
CA-2011-853,,4%,Regent Square,"527 West Regent Street, Inglewood, CA 90301     ",Inglewood,90301,3106713109,Los Angeles,62,35,43,6014.01,4018-007-018 & 4018-007-021,Placed in Service,05/23/13,05/23/13,New Construction,Non-Targeted,145,143,1,36,101,7,0,0,0,,0,0,0,0,27,0,116,,,"Regent 145, L.P.",Corey Leff,"4116 W. Magnolia Blvd., Ste. 203",Burbank,CA,91505,8188438644,8185661437,"Inglewood Regent Square, LLC",Faithful Central Bible Church Community Dev.,,,,U.S. Residential Group (formerly Pacific West Mana,Love Zepeda,"15770 Rockfield Blvd., Ste. 200",Irvine,CA,92301,9495979700,8662396292,"Inglewood Regent Square, LLC","$1,414,613",$0,,,,,,
CA-2013-158,,9%,Eucalyptus Park,"811 N. Eucalyptus Ave., Inglewood, CA 90302",Inglewood,90302,3106777482,Los Angeles,62,35,43,6013.03,4017-009-023,Placed In Service,12/31/14,12/31/14,Rehabilitation,Seniors,93,92,0,93,0,0,0,0,0,,10,0,19,0,37,26,0,,,Thomas Safran & Associates,Anthony Yannatta,11812 San Vicente Blvd. #600,Los Angeles,CA,90049,3108204888,3102076986,Thomas Safran & Associates,Housing Corporation of America,,,,Thomas Safran & Associates,Jordan Pynes,11812 San Vicente Blvd. #600,Los Angeles,CA,90049,3108204888,,Thomas Safran & Associates,"$1,016,314",,,,,,,
CA-2015-939,,4%,Pacific Rim Apartments,"230 S. Grevillea Avenue, Inglewood, CA  90301",Inglewood,90301,,Los Angeles,62,35,43,6012.11,4021-014-047,Preliminary Reservation,,,Acquisition/Rehabilitation,Special Needs,40,39,0,39,1,0,0,0,0,,0,0,0,0,16,0,23,,,"Pacific Rim Preservation, L.P.",Alejandro Lara,230 S. Grevillea Avenue,Inglewood,CA,90301,3103096731,3109866488,Figueroa Economical Housing Development Corporation,,,,,"Monfric, Inc.",John Grady,1915 Morena Blvd,San Diego,CA,92110,6192766271,,Figueroa Economical Housing Development Corporation,"$239,094",,,,,,,
